labour_income,emp_comp,mixed_income,emp_social_cont,nonlabour_inc,net_tax_benefits,disposable_income,year,quarter
195.664,208.422,25.432,38.19,67.008,16.691,279.363,2012,1
197.381,209.809,26.16,38.588,68.102,18.18,283.663,2012,2
197.027,210.105,25.815,38.893,67.516,17.545,282.088,2012,3
198.268,211.284,25.618,38.634,66.521,19.033,283.822,2012,4
199.28,212.054,25.781,38.555,66.441,18.453,284.174,2013,1
206.305,219.247,26.427,39.369,70.01,16.025,292.34,2013,2
208.076,219.741,27.139,38.804,71.305,19.032,298.413,2013,3
212.111,221.554,28.857,38.3,70.501,18.267,300.879,2013,4
214.698,223.811,29.054,38.167,69.594,17.229,301.521,2014,1
214.587,222.997,29.03,37.44,72.656,17.081,304.324,2014,2
213.924,222.544,28.525,37.145,73.314,16.594,303.832,2014,3
216.006,225.036,28.529,37.559,74.514,16.756,307.276,2014,4
218.861,228.249,28.821,38.209,77.882,15.094,311.837,2015,1
221.247,229.85,30.327,38.93,82.6,15.875,319.722,2015,2
225.061,232.586,31.568,39.093,85.203,16.965,327.229,2015,3
225.944,233.746,31.472,39.274,84.451,17.027,327.422,2015,4
227.905,236.189,31.167,39.451,82.774,15.751,326.43,2016,1
230.176,240.309,31.689,41.822,83.256,14.952,328.384,2016,2
231.084,242.265,31.093,42.274,82.739,14.838,328.661,2016,3
232.247,242.492,32.236,42.481,81.67,13.975,327.892,2016,4
236.463,246.327,33.029,42.893,81.353,10.184,328,2017,1
241.106,249.682,34.744,43.32,83.228,13.108,337.442,2017,2
242.907,250.719,34.923,42.735,83.802,13.03,339.739,2017,3
244.673,252.337,35.171,42.835,85.701,11.518,341.892,2017,4
248.655,257.85,35.189,44.384,86.531,12.555,347.741,2018,1
248.308,257.394,35.47,44.556,87.036,12.07,347.414,2018,2
252.129,261.579,35.446,44.896,88.24,10.311,350.68,2018,3
255.978,264.746,36.455,45.223,89.461,11.165,356.604,2018,4
257.509,267.757,36.818,47.066,90.36,8.31,356.179,2019,1
261.813,272.748,37.627,48.562,90.971,10.802,363.586,2019,2
260.937,273.37,37.385,49.818,92.278,12.019,365.234,2019,3
262.274,273.207,38.341,49.274,93.323,12.366,367.963,2019,4
263.239,274.248,37.992,49.001,87.371,11.503,362.113,2020,1
254.956,266.092,37.366,48.502,81.676,19.572,356.204,2020,2
260.834,273.594,38.25,51.01,85.174,21.288,367.296,2020,3
267.859,280.761,38.919,51.821,84.812,15.582,368.253,2020,4
268.801,280.418,39.115,50.732,90.799,14.119,373.719,2021,1
276.503,288.402,39.946,51.845,89.14,9.934,375.577,2021,2
279.081,291.974,39.249,52.142,90.169,8.942,378.192,2021,3
282.67,295.098,39.031,51.459,92.108,5.953,380.731,2021,4
289.614,303.337,40.067,53.79,95.718,3.064,388.396,2022,1
291.253,307.376,39.546,55.669,99.1025,4.5255,394.881,2022,2
296.42,312.85,40.119,56.549,98.2805,7.6595,402.36,2022,3
302.824,318.844,40.757,56.777,110.6395,4.9765,418.44,2022,4
308.907,323.836,41.492,56.421,117.1765,-2.1755,423.908,2023,1
315.019,329.962,42.023,56.966,111.25616959999999,12.1168304,438.392,2023,2
320.702,334.897,43.083,57.278,114.0461696,8.319830399999999,443.068,2023,3
319.704969172,334.140002472,42.9449131,57.3799462,115.45665832799996,1.0805965000000215,436.24222399999996,2023,4
